USPS,GEOID,ANSICODE,NAME,POP10,HU10,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,ALBERS_X,ALBERS_Y
IA,19073,00465225,Greene County,9336,4546,1475188829,4249897,     569.574,       1.641,  124769.9771,-7792433
IA,19075,00465226,Grundy County,12453,5530,1299805924,94406,     501.858,       0.036,  254473.3470,-7748859
IA,19077,00465227,Guthrie County,10954,5756,1529699184,6355537,     590.620,       2.454,  116136.5952,-7832773
IA,19079,00465228,Hamilton County,15673,7219,1493777716,1965344,     576.751,       0.759,  179574.6454,-7752362
IA,19081,00465229,Hancock County,11341,5330,1478894985,5265572,     571.005,       2.033,  175014.8757,-7675859
IA,19083,00465230,Hardin County,17534,8224,1474498672,1773894,     569.307,       0.685,  217757.4879,-7751474
IA,19085,00465231,Harrison County,14928,6731,1804827800,12417759,     696.848,       4.795,    6859.5734,-7833070
IA,19087,00465232,Henry County,20145,8280,1124904348,5780284,     434.328,       2.232,  363325.8955,-7903486
IA,19089,00465233,Howard County,9566,4367,1225706425,927963,     473.248,       0.358,  288593.6742,-7640002
IA,19091,00465234,Humboldt County,9815,4684,1124967281,3406139,     434.352,       1.315,  138526.2040,-7709397
IA,19093,00465235,Ida County,7089,3426,1117599646,1406468,     431.508,       0.543,   32876.1568,-7754250
IA,19095,00465236,Iowa County,16355,7258,1518916014,2686847,     586.457,       1.037,  317338.0325,-7827165
IA,19097,00465237,Jackson County,19848,9415,1647332960,35141529,     636.039,      13.568,  436531.4845,-7767539
IA,19099,00465238,Jasper County,36842,16181,1891779160,6565706,     730.420,       2.535,  235469.4124,-7829858
IA,19101,00465239,Jefferson County,16843,7594,1127964789,3538407,     435.510,       1.366,  328060.5607,-7902670
IA,19103,00465240,Johnson County,130882,55967,1590355537,23595204,     614.040,       9.110,  356143.0341,-7827198
IA,19105,00465241,Jones County,20638,8911,1490851138,3582593,     575.621,       1.383,  392424.1488,-7774282
